PG.ProteinGroups,PG.Genes,Brain_C9FTLD_TDP_1,Brain_C9FTLD_TDP_2,Brain_C9FTLD_TDP_3,Brain_C9FTLD_TDP_4,Brain_C9FTLD_TDP_5,Brain_C9FTLD_TDP_6,Brain_C9FTLD_TDP_7,Brain_C9FTLD_TDP_8,Brain_C9FTLD_TDP_9,Brain_C9FTLD_TDP_10,Brain_Control_1,Brain_Control_2,Brain_Control_3,Brain_Control_4,Brain_Control_5,Brain_Control_6,Brain_Control_7,Brain_Control_8,Brain_Control_9,Brain_Control_10,[6] 131115P.PG.Quantity,[16] 131118P.PG.Quantity,[26] 4900020P.PG.Quantity,[31] 4900056P.PG.Quantity,[5] 131115C.PG.Quantity,[11] 131118C.PG.Quantity,[21] 4900020C.PG.Quantity,[31] 4900056C.PG.Quantity
P16278;P16278,GLB1,19666.06445,17765.66992,48410.03125,54786.48828,23437.14648,50169.54688,73058.52344,43770.80859,41988.41016,41260.11328,50268.59766,43986.58594,28817.08398,64473.09766,83346.72656,41375.01953,63240.75391,47945.64844,37672.97266,61256.74609,45614.23169,37317.18311,10556.65771,13612.01648,37050.43066,47135.96973,58590.13525,56753.01099
P16284;P16284,PECAM1,15367.55859,7527.450684,22216.74023,20515.46289,11264.37598,30366.19531,30592.21484,17413.64453,13843.50879,19111.77539,35604.31641,32817.91406,12618.30371,27863.89844,24492.71875,14086.30957,17566.85742,11001.8291,13658.05957,28545.67383,449124.25,237668.9355,74753.69873,81441.49023,,,,
P16298;P16298,PPP3CB,925134.1875,454065.9688,1908213.25,2897772.5,1216702.875,1779434.125,2431202.25,1819481.625,2424501.5,2311877,3375855.25,3386357.75,2182137.5,3768291.25,3227426,2172831,2313478.5,2726237.25,1666297.25,2978613.75,73798.7002,39622.9751,20457.8125,992.8228149,5120.604492,24560.38818,5013.865234,
P16333;P16333,NCK1,9424.111328,6764.549805,22579.16797,52348.20313,15241.29785,15114.43359,20064.31641,8331.229492,25509.59766,25892.93359,62545.49219,79889.03906,19020.73633,73571.88281,82327.5625,66218.75,53643.68359,53307.29688,62966.13281,66807.42188,53743.04663,32098.4209,12948.6969,10965.98975,,,,
P16383;P16383,GCFC2,8037.691406,NaN,19543.56445,NaN,10902.30371,12447.37695,NaN,8213.689453,NaN,7034.895508,11808.11133,6558.433105,14005.2832,8314.40625,6014.654297,7395.999023,NaN,9362482,NaN,4835.615723,1602.713501,,,,,,,
P16389;P16389,KCNA2,24282.56055,9897.793945,36841.39063,41555.82422,75532,64672.96484,49782.5625,65564.20313,54735.38672,55403.60938,106861.1719,67574.39844,31751.16211,37220.48047,40929.28125,72099.30469,82084.97656,98633.42969,63104.44531,109061.1875,,,,,,,,
P16401;P16401,H1-5,29283.50391,11447.8584,69232.78906,155619.8281,28312.76953,279283.75,122693.3125,115662.2656,NaN,145023.25,219747.9219,NaN,NaN,NaN,NaN,115044.6563,145820.6094,74789.85156,15249.50781,77931.17188,358060.3711,65812.49365,37911.38086,75418.30713,39385.16699,,,
P16402;P16402,H1-3,29586.04297,56112.16406,252661.4531,NaN,1091.824341,NaN,NaN,NaN,NaN,186739.1719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
P16403;P16403,H1-2,155313.2656,92888.85156,196564.3594,163127.625,77919.97656,194046.4531,133115.0313,116369.1641,116019.1563,212695.125,129752.2422,60485.45703,132832.7344,63002.08594,69497.42969,96833.70313,95423.17188,122518.9063,104609.7578,251306.9531,104167.3811,1670.83728,,,,3967.733643,,
P16422;P16422,EPCAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
P16435;P16435,POR,12385.80078,4085.312012,45898.66406,64455.73828,16139.81348,6803.070313,27358.94922,7960.638184,33749.71484,32904.02344,84746.59375,105278.3984,21082.11523,106286.0391,88747.64844,98695.57813,98719.625,80817.00781,76912.625,92487.29688,10540.27905,2693.496826,15998.71582,,,,,
P16442;P16442,ABO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
P16452;P16452,EPB42,7980.089355,6658.163086,21353.98633,35186.12109,14756.14453,29183.61328,25784.82227,13956.83105,42839.68359,68516.02344,35589.82031,39187.73047,60596.72656,240057.2188,22892.86914,29304.39648,NaN,36626.77734,17565.24023,20418.54297,70170.79199,74558.91895,75051.3999,50506.92017,193327.125,638301.9688,,142959.5938
P16455;P16455,MGMT,5774.784668,2529.957764,NaN,NaN,NaN,17924.08984,25444.24414,13380.30176,NaN,NaN,NaN,NaN,NaN,28027.33203,NaN,28058.68945,27742.88281,11008.78223,NaN,NaN,10412.39319,,,,,,,
P16519;P16519,PCSK2,18306.19727,8644.443359,23916.58398,39533.78516,19544.91016,29524.23828,36835.16016,30195.43359,33472.0625,32387.22266,45884.6875,47916.98047,42052.61719,41548.50781,55187.875,32854.61719,28194.09961,35223.58984,24020.22461,37768.59766,6830.565918,10222.80786,4848.71106,12854.13818,44262.85596,44078.92627,90123.18652,49923.31982
P16520;P16520,GNB3,17399.11523,15904.12402,26855.8457,7311.769531,26700.10547,27445.16797,24902.11523,37628.79688,39946.34375,20727.96484,15114.03516,28349.19141,29070.62109,28258.55078,23830.47852,12864.24512,28303.2832,657.5374756,101224.1016,10769.20703,7036.438477,2012.757324,,,,,,
P16591;P16591,FER,2123.208496,NaN,NaN,5873.807129,NaN,NaN,NaN,2762.996826,NaN,2228.940186,3524.666748,3472.895996,NaN,6243.29834,4183.592773,3281.999512,5770.876465,2724.591064,3670.428711,3531.04126,27957.04199,13718.61377,262446.1895,191226.3297,46631.7428,58153.8833,6519.178223,31854.44824
P16615;P16615,ATP2A2,268573.4375,88796.65625,213872.6406,627138.75,319878.9375,311973.7188,475226.4688,477048.5,593708.4375,461382.9063,785626.5625,827806.25,556100,847269.6875,711110.5625,539014.0625,626173.3125,601573.25,380654.5,648065.5,284029.3008,236282.5918,84436.6123,65522.19336,85531.86719,,,
P16671;P16671,CD36,NaN,665.7184448,NaN,NaN,NaN,NaN,2104.481201,NaN,NaN,NaN,NaN,NaN,NaN,12174.51465,NaN,NaN,NaN,NaN,NaN,NaN,750196.0195,277071.918,108348.5605,128029.1133,,,,
P16870;P16870,CPE,103417.8516,57502.09766,199944.9375,245614.1875,123940.8516,231667.1406,244407.6719,181020.2656,248839.4375,241644.1719,239347.8906,264293.0938,180398.2969,259976.5156,238584.6563,162845.4844,152321.9063,148485.6875,112498.8672,146400.9688,25096.19629,35055.51514,34613.94141,22220.65039,1123668.852,997520.2813,1527940.531,2229614.438
P16871;P16871,IL7R,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3537.092773,5753.856445,10257.04004,5826.491211,,,,
P16885;P16885,PLCG2,1551.338989,544.2429199,NaN,NaN,NaN,NaN,NaN,782207.625,9129.612305,170447.625,2547.664551,3948.419922,NaN,15644.65137,8563.197266,1579.649658,NaN,NaN,11596.69727,5198.986816,69432.69727,23942.2417,12168.3772,14213.12549,,,,
P16930;P16930,FAH,36851.67969,24554.35742,119897.9375,86281.1875,31143.44336,85380.96875,143369.8906,70196.90625,99422.22656,83107.85938,100541.3281,82252.85156,55013.6875,59104.33203,72590.39844,32154.41211,50255.71875,64915.48047,38962.40234,61772.01953,8300.491333,13392.65405,,,977.1153564,,,
P16949;P16949,STMN1,637718.8125,395113.25,1762902.875,2359498.75,902704.1875,1204823.625,2404351,801483.3125,2009654.125,2082500.625,2272803.5,2339494.5,1296634.625,3400874.5,2358931.5,1930511.625,1628923.5,2710170.25,1689649.625,2616005.75,9693.508789,10777.84424,11007.48315,9397.747803,29762.49658,46567.47925,25758.01416,26462.36145
P16989;P16989,YBX3,4132.56543,3540.608887,4634.078125,NaN,3248.214111,9611.367188,5469.229492,2502.683594,2617.285156,3949.847168,7516.923828,2439.568359,5167.855957,NaN,5558.82959,NaN,1642.155273,NaN,9428.983398,2312.712646,17113.98889,19291.81567,38372.35767,9620.893799,,,,
P17017;P17017,ZNF14,NaN,NaN,NaN,NaN,NaN,NaN,14055.33105,6098.343262,4180.200195,NaN,NaN,NaN,NaN,11637.90332,14835.62402,2246.803711,NaN,NaN,NaN,1812.325195,,,,,,,,
P17026;P17026,ZNF22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
P17028;P17028,ZNF24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
